artifact_code,artifact,year,n_observations,fit_status,second_use_weight,first_use_weight,second_use_scale,second_use_shape,first_use_scale,first_use_shape,second_use_mean,first_use_mean,mixture_mean,reference_lifetime,relative_error_percent
1,Radio,2008,12516,standard,0.404,0.596,2.85,1.82,12.52,1.38,2.54,11.44,7.84,10.0,21.64
1,Radio,2009,12978,standard,0.43200000000000005,0.568,3.05,1.79,12.84,1.38,2.71,11.74,7.84,10.0,21.61
1,Radio,2010,12913,robust_refit,0.40141164799999995,0.598588352,2.978624677,1.826825945,12.27043528,1.354775156,2.647046745,11.24482551,7.793576969,10.0,22.06
1,Radio,2011,14519,standard,0.41400000000000003,0.586,3.15,1.74,12.53,1.36,2.81,11.47,7.89,10.0,21.15
1,Radio,2012,14471,robust_refit,0.392939841,0.607060159,2.969804872,1.848188423,12.41782062,1.392580007,2.637922474,11.3274284,7.912975323,10.0,20.87
1,Radio,2013,18076,standard,0.375,0.625,3.02,1.9,12.09,1.39,2.68,11.03,7.9,10.0,21.04
1,Radio,2014,17012,robust_refit,0.38683669099999995,0.613163309,3.147330433,1.939568431,12.46860952,1.415329591,2.791150157,11.34513884,8.036142168,10.0,19.64
1,Radio,2015,17846,standard,0.378,0.622,3.31,1.91,12.62,1.43,2.94,11.46,8.24,10.0,17.63
1,Radio,2016,19028,standard,0.374,0.626,3.29,1.93,12.5,1.41,2.92,11.38,8.22,10.0,17.82
1,Radio,2017,17823,standard,0.353,0.647,3.37,1.95,12.6,1.39,2.98,11.5,8.5,10.0,15.04
1,Radio,2018,19108,standard,0.33099999999999996,0.669,3.41,2.0,12.44,1.42,3.02,11.31,8.57,10.0,14.35
1,Radio,2019,17347,standard,0.33499999999999996,0.665,3.43,1.91,12.91,1.43,3.04,11.72,8.82,10.0,11.83
1,Radio,2020,19171,standard,0.259,0.741,3.6,1.98,12.07,1.39,3.19,11.01,8.99,10.0,10.11
1,Radio,2021,16852,robust_refit,0.22683489499999998,0.773165105,3.42833975,1.936776844,12.22589349,1.386099447,3.040473827,11.16074864,9.318786957,10.0,6.81
1,Radio,2022,16729,standard,0.29200000000000004,0.708,3.99,1.66,12.89,1.39,3.57,11.77,9.37,10.0,6.29
1,Radio,2023,16696,standard,0.17200000000000004,0.828,2.76,1.97,12.27,1.4,2.45,11.18,9.68,10.0,3.24
1,Radio,2024,16050,standard,0.378,0.622,5.56,1.51,14.16,1.44,5.02,12.85,9.89,10.0,1.14
2,Color TV,2008,11349,standard,0.46399999999999997,0.536,2.86,1.84,9.17,1.47,2.54,8.3,5.63,12.08,53.38
2,Color TV,2009,12490,standard,0.42100000000000004,0.579,2.79,1.84,8.88,1.5,2.48,8.02,5.69,12.08,52.9
2,Color TV,2010,12927,standard,0.43200000000000005,0.568,2.96,1.84,9.08,1.49,2.63,8.21,5.8,12.08,51.99
2,Color TV,2011,15432,robust_refit,0.41714171899999997,0.582858281,3.265909385,1.766473818,9.297559385,1.4798257,2.907144475,8.407487092,6.113064718,12.08,49.4
2,Color TV,2012,16133,standard,0.377,0.623,2.9,1.86,9.19,1.5,2.58,8.3,6.14,12.08,49.15
2,Color TV,2013,20201,standard,0.31399999999999995,0.686,2.63,1.91,8.94,1.53,2.33,8.05,6.25,12.08,48.22
2,Color TV,2014,20502,standard,0.38,0.62,2.88,1.87,9.42,1.57,2.56,8.46,6.22,12.08,48.49
2,Color TV,2015,21880,robust_refit,0.391177142,0.608822858,3.015397295,1.893164772,9.862379238,1.566980982,2.676066552,8.860168678,6.441089284,12.08,46.68
2,Color TV,2016,24396,standard,0.391,0.609,3.06,1.93,9.95,1.56,2.71,8.94,6.5,12.08,46.15
2,Color TV,2017,22864,standard,0.41900000000000004,0.581,3.18,1.93,10.02,1.6,2.82,8.99,6.4,12.08,47.0
2,Color TV,2018,24489,standard,0.41900000000000004,0.581,3.28,1.94,10.34,1.59,2.91,9.28,6.61,12.08,45.26
2,Color TV,2019,23155,standard,0.41400000000000003,0.586,3.2,1.91,10.35,1.57,2.84,9.3,6.63,12.08,45.15
2,Color TV,2020,25295,standard,0.32599999999999996,0.674,3.76,2.03,10.23,1.52,3.33,9.22,7.3,12.08,39.61
2,Color TV,2021,24495,standard,0.33599999999999997,0.664,3.85,2.16,10.48,1.57,3.41,9.42,7.4,12.08,38.77
2,Color TV,2022,24248,standard,0.384,0.616,4.38,2.11,10.42,1.56,3.88,9.37,7.26,12.08,39.88
2,Color TV,2023,24377,standard,0.641,0.359,7.44,1.54,10.96,1.44,6.7,9.94,7.86,12.08,34.92
2,Color TV,2024,23779,standard,0.621,0.379,6.24,1.62,12.27,1.57,5.59,11.02,7.65,12.08,36.68
4,Sound System,2008,6447,standard,0.44199999999999995,0.558,3.74,1.71,9.71,1.45,3.34,8.81,6.39,10.0,36.1
4,Sound System,2009,6523,standard,0.378,0.622,3.72,1.79,9.73,1.5,3.3,8.79,6.71,10.0,32.86
4,Sound System,2010,6452,standard,0.5369999999999999,0.463,4.93,1.54,10.81,1.43,4.43,9.82,6.93,10.0,30.73
4,Sound System,2011,7238,standard,0.622,0.378,5.79,1.5,11.82,1.45,5.23,10.72,7.3,10.0,26.99
4,Sound System,2012,7524,standard,0.22099999999999997,0.779,3.31,1.92,9.83,1.52,2.93,8.86,7.55,10.0,24.52
4,Sound System,2013,9328,standard,0.239,0.761,3.42,2.0,10.12,1.52,3.03,9.12,7.66,10.0,23.35
4,Sound System,2014,9060,standard,0.263,0.737,3.51,1.99,10.19,1.55,3.11,9.16,7.57,10.0,24.29
4,Sound System,2015,9133,standard,0.31999999999999995,0.68,3.65,2.0,10.78,1.58,3.24,9.67,7.62,10.0,23.82
4,Sound System,2016,10108,standard,0.271,0.729,3.48,1.96,10.23,1.5,3.09,9.23,7.56,10.0,24.37
4,Sound System,2017,9545,standard,0.28200000000000003,0.718,3.7,1.95,10.48,1.48,3.28,9.48,7.73,10.0,22.72
4,Sound System,2018,9930,standard,0.27,0.73,3.65,1.98,10.83,1.52,3.23,9.76,8.0,10.0,20.04
4,Sound System,2019,9541,standard,0.264,0.736,3.66,2.08,10.77,1.48,3.24,9.74,8.03,10.0,19.69
4,Sound System,2020,10451,standard,0.696,0.304,7.57,1.69,13.03,1.5,6.76,11.77,8.28,10.0,17.2
4,Sound System,2021,9619,standard,0.732,0.268,9.03,1.31,11.0,40265.04,8.33,11.0,9.04,10.0,9.57
4,Sound System,2022,9127,standard,0.7969999999999999,0.203,9.39,1.38,12.0,40395.34,8.58,12.0,9.27,10.0,7.27
4,Sound System,2023,8909,standard,0.742,0.258,10.1,1.87,13.09,1.34,8.96,12.02,9.75,10.0,2.49
4,Sound System,2024,8336,robust_refit,0.622467271,0.377532729,10.87185799,1.831961356,12.13639846,1.326532685,9.660437983,11.16479051,10.2283803,10.0,2.28
5,DVD,2008,7238,standard,0.771,0.229,2.5,1.96,5.25,1.62,2.22,4.7,2.79,8.33,66.55
5,DVD,2009,8644,standard,0.745,0.255,2.89,1.85,6.14,1.72,2.57,5.47,3.31,8.33,60.25
5,DVD,2010,9343,standard,0.7070000000000001,0.293,3.13,1.83,6.65,1.58,2.78,5.97,3.71,8.33,55.42
5,DVD,2011,11132,standard,0.633,0.367,3.4,1.78,6.87,1.6,3.03,6.16,4.18,8.33,49.84
5,DVD,2012,11543,standard,0.538,0.462,3.28,1.85,7.36,1.75,2.92,6.55,4.6,8.33,44.84
5,DVD,2013,14463,standard,0.42600000000000005,0.574,3.02,1.86,7.47,1.75,2.68,6.65,4.96,8.33,40.47
5,DVD,2014,13936,standard,0.44599999999999995,0.554,3.27,1.89,7.99,1.78,2.91,7.11,5.23,8.33,37.16
5,DVD,2015,13922,robust_refit,0.49730693400000003,0.502693066,3.589815949,1.932979387,9.117616126,1.986292868,3.183849654,8.081339251,5.645783717,8.33,32.22
5,DVD,2016,14437,standard,0.42000000000000004,0.58,3.4,1.96,8.95,1.81,3.01,7.96,5.88,8.33,29.36
5,DVD,2017,12210,standard,0.347,0.653,3.28,2.02,8.95,1.79,2.9,7.96,6.2,8.33,25.57
5,DVD,2018,11332,standard,0.29900000000000004,0.701,3.44,2.09,9.19,1.72,3.04,8.2,6.65,8.33,20.12
5,DVD,2019,9367,standard,0.29300000000000004,0.707,3.52,2.04,9.97,1.81,3.12,8.86,7.18,8.33,13.78
5,DVD,2020,7581,robust_refit,0.231600291,0.768399709,3.885355737,2.142628487,10.12177152,1.807612428,3.440926422,8.999343246,7.712012295,8.33,7.42
5,DVD,2021,5756,standard,0.506,0.494,7.32,1.73,11.56,1.7,6.52,10.31,8.4,8.33,0.78
5,DVD,2022,4537,standard,0.5820000000000001,0.418,8.36,1.87,11.95,1.66,7.42,10.68,8.79,8.33,5.47
5,DVD,2023,3918,standard,0.78,0.22,10.7,1.53,12.01,6.65,9.63,11.21,9.98,8.33,19.79
5,DVD,2024,2949,standard,0.5880000000000001,0.412,8.73,1.87,15.72,2.2,7.75,13.92,10.29,8.33,23.56
6,VCR,2008,1092,standard,0.708,0.292,8.62,1.49,13.52,3.64,7.79,12.19,9.07,8.33,8.92
6,VCR,2009,972,standard,0.583,0.417,10.01,1.46,13.56,3.26,9.06,12.16,10.35,8.33,24.29
6,VCR,2010,851,standard,0.774,0.226,12.02,1.59,13.44,6.2,10.78,12.49,11.17,8.33,34.07
6,VCR,2011,687,standard,0.626,0.374,12.39,1.44,15.32,4.42,11.25,13.96,12.26,8.33,47.23
6,VCR,2012,545,standard,0.508,0.492,12.55,1.44,14.84,3.64,11.39,13.38,12.37,8.33,48.46
6,VCR,2013,538,standard,0.5860000000000001,0.414,11.12,1.37,16.94,3.74,10.17,15.3,12.3,8.33,47.6
6,VCR,2014,340,standard,0.245,0.755,8.82,1.45,17.86,2.71,8.0,15.88,13.95,8.33,67.44
6,VCR,2015,281,standard,0.634,0.366,11.76,1.3,17.1,5.15,10.86,15.73,12.64,8.33,51.77
6,VCR,2016,279,standard,0.31200000000000006,0.688,6.2,1.48,16.44,2.4,5.61,14.57,11.78,8.33,41.41
6,VCR,2017,215,standard,0.627,0.373,6.87,1.83,19.99,3.84,6.1,18.08,10.57,8.33,26.91
6,VCR,2018,201,standard,0.367,0.633,4.11,2.79,19.71,2.8,3.66,17.56,12.46,8.33,49.57
6,VCR,2019,182,standard,0.42100000000000004,0.579,6.2,1.65,18.69,1.86,5.55,16.6,11.95,8.33,43.43
6,VCR,2020,89,standard,0.526,0.474,11.47,1.27,21.11,3.32,10.66,18.94,14.59,8.33,75.11
6,VCR,2021,122,standard,0.274,0.726,10.86,3.49,16.36,1.49,9.77,14.78,13.41,8.33,60.95
6,VCR,2022,102,standard,0.868,0.132,13.79,2.14,32.34,11.61,12.21,30.96,14.68,8.33,76.25
6,VCR,2023,101,standard,0.845,0.155,12.9,1.93,25.55,7.87,11.44,24.05,13.4,8.33,60.83
6,VCR,2024,82,standard,0.842,0.158,15.86,1.63,35.34,10.23,14.2,33.65,17.27,8.33,107.3
7,PC,2008,2581,standard,0.507,0.493,2.82,1.9,6.26,1.56,2.5,5.63,4.04,9.545,57.67
7,PC,2009,3174,standard,0.248,0.752,1.49,2.97,5.39,1.54,1.33,4.85,3.98,9.545,58.32
7,PC,2010,3469,standard,0.264,0.736,1.55,2.95,5.39,1.51,1.38,4.86,3.94,9.545,58.71
7,PC,2011,4356,standard,0.271,0.729,1.74,2.57,5.7,1.54,1.55,5.13,4.16,9.545,56.37
7,PC,2012,5225,standard,0.42700000000000005,0.573,2.26,2.06,6.31,1.57,2.0,5.67,4.1,9.545,57.02
7,PC,2013,7179,standard,0.598,0.402,2.86,1.89,7.55,1.78,2.54,6.72,4.22,9.545,55.8
7,PC,2014,7609,standard,0.603,0.397,3.02,1.93,7.45,1.73,2.68,6.63,4.25,9.545,55.49
7,PC,2015,7873,standard,0.72,0.28,3.4,1.93,9.04,2.14,3.01,8.01,4.41,9.545,53.8
7,PC,2016,9192,standard,0.5880000000000001,0.412,3.49,1.89,7.76,1.61,3.1,6.95,4.68,9.545,50.93
7,PC,2017,8762,standard,0.577,0.423,3.51,1.91,8.07,1.75,3.11,7.18,4.84,9.545,49.33
7,PC,2018,9329,standard,0.55,0.45,3.64,1.91,7.97,1.77,3.23,7.09,4.97,9.545,47.95
7,PC,2019,8932,standard,0.552,0.448,3.7,1.94,8.51,1.69,3.28,7.6,5.22,9.545,45.33
7,PC,2020,9927,standard,0.64,0.36,4.64,1.9,8.58,1.65,4.11,7.67,5.4,9.545,43.46
7,PC,2021,9870,standard,0.767,0.233,5.13,1.6,9.21,1.51,4.6,8.31,5.47,9.545,42.73
7,PC,2022,9974,standard,0.19099999999999995,0.809,1.93,2.7,7.13,1.63,1.72,6.38,5.49,9.545,42.45
7,PC,2023,9881,standard,0.38,0.62,2.91,2.23,8.58,2.03,2.58,7.6,5.69,9.545,40.38
7,PC,2024,9646,standard,0.44899999999999995,0.551,3.53,2.14,8.34,1.69,3.13,7.44,5.5,9.545,42.36
8,Iron,2008,9648,standard,0.371,0.629,2.65,1.87,11.54,1.35,2.35,10.58,7.53,7.97,5.53
